RelativeFile,CheckID,Line,Column,Severity,Diagnostic,Suppressed,Classification,Rationale
+WVInternal/assessBoussinesqRHSResolution.m,AGROW,37,39,info,"Variable appears to change size on every loop iteration. Consider preallocating for speed.",1,performance,"Dynamic allocation and equivalent logical-indexing suggestions are visible performance advice, not correctness failures."
+WVInternal/buildFreeSurfaceBalancedModes.m,AGROW,100,13,info,"Variable appears to change size on every loop iteration. Consider preallocating for speed.",1,performance,"Dynamic allocation and equivalent logical-indexing suggestions are visible performance advice, not correctness failures."
+WVInternal/buildFreeSurfaceBalancedModes.m,AGROW,120,13,info,"Variable appears to change size on every loop iteration. Consider preallocating for speed.",1,performance,"Dynamic allocation and equivalent logical-indexing suggestions are visible performance advice, not correctness failures."
+WVInternal/buildFreeSurfaceBalancedModes.m,AGROW,127,17,info,"Variable appears to change size on every loop iteration. Consider preallocating for speed.",1,performance,"Dynamic allocation and equivalent logical-indexing suggestions are visible performance advice, not correctness failures."
+WVInternal/constructionInteractionInventory.m,AGROW,23,9,info,"Variable appears to change size on every loop iteration. Consider preallocating for speed.",1,performance,"Dynamic allocation and equivalent logical-indexing suggestions are visible performance advice, not correctness failures."
+WVInternal/constructionInteractionInventory.m,AGROW,24,9,info,"Variable appears to change size on every loop iteration. Consider preallocating for speed.",1,performance,"Dynamic allocation and equivalent logical-indexing suggestions are visible performance advice, not correctness failures."
+WVInternal/groupContainingCompleteVariableSet.m,AGROW,42,5,info,"Variable appears to change size on every loop iteration. Consider preallocating for speed.",1,performance,"Dynamic allocation and equivalent logical-indexing suggestions are visible performance advice, not correctness failures."
+WVInternal/measureSourceProducts.m,FNDSB,80,21,info,"For array or cell array, performance can be improved using logical indexing instead of 'find'.",0,performance,"Dynamic allocation and equivalent logical-indexing suggestions are visible performance advice, not correctness failures."
+WVInternal/measureSourceProducts.m,FNDSB,80,54,info,"For array or cell array, performance can be improved using logical indexing instead of 'find'.",0,performance,"Dynamic allocation and equivalent logical-indexing suggestions are visible performance advice, not correctness failures."
+WVInternal/prepareWaveQuadraticAssessment.m,AGROW,38,29,info,"Variable appears to change size on every loop iteration. Consider preallocating for speed.",1,performance,"Dynamic allocation and equivalent logical-indexing suggestions are visible performance advice, not correctness failures."
+WVInternal/selectStudyInteractions.m,AGROW,23,9,info,"Variable appears to change size on every loop iteration. Consider preallocating for speed.",1,performance,"Dynamic allocation and equivalent logical-indexing suggestions are visible performance advice, not correctness failures."
+WVInternal/selectStudyInteractions.m,AGROW,40,5,info,"Variable appears to change size on every loop iteration. Consider preallocating for speed.",1,performance,"Dynamic allocation and equivalent logical-indexing suggestions are visible performance advice, not correctness failures."
+WVInternal/transferFreeSurfaceForcing.m,AGROW,22,5,info,"Variable appears to change size on every loop iteration. Consider preallocating for speed.",0,performance,"Dynamic allocation and equivalent logical-indexing suggestions are visible performance advice, not correctness failures."
@WVGeometryDoublyPeriodicBarotropic/WVGeometryDoublyPeriodicBarotropic.m,MANU,89,31,warning,"Input argument might be unused. Consider replacing the argument with ~, or make this method Static instead.",0,style,"Unused callback or interface inputs and property-name clarity advice are nonblocking style findings."
@WVGeometryDoublyPeriodicStratified/WVGeometryDoublyPeriodicStratified.m,INUSA,271,17,warning,"Input argument might be unused after the function arguments block(s).",0,style,"Unused callback or interface inputs and property-name clarity advice are nonblocking style findings."
@WVGeometryDoublyPeriodicStratified/WVGeometryDoublyPeriodicStratified.m,INUSA,272,17,warning,"Input argument might be unused after the function arguments block(s).",0,style,"Unused callback or interface inputs and property-name clarity advice are nonblocking style findings."
@WVGeometryDoublyPeriodicStratified/WVGeometryDoublyPeriodicStratified.m,INUSA,281,17,warning,"Input argument might be unused after the function arguments block(s).",0,style,"Unused callback or interface inputs and property-name clarity advice are nonblocking style findings."
@WVGeometryDoublyPeriodicStratified/WVGeometryDoublyPeriodicStratified.m,INUSA,282,17,warning,"Input argument might be unused after the function arguments block(s).",0,style,"Unused callback or interface inputs and property-name clarity advice are nonblocking style findings."
